"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00100","Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","4/520","14/4607",0.0640124056484086,0.99999209329477,0.99999209329477,"6309/6307/3930/120227",4
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","14/520","84/4607",0.0858465557263197,0.99999209329477,0.99999209329477,"9133/6790/26271/8243/5595/5533/5532/29945/9748/817/996/5515/805/5567",14
"hsa00563","Metabolism","Glycan biosynthesis and metabolism","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","5/520","22/4607",0.0937401037417799,0.99999209329477,0.99999209329477,"284098/10026/8818/9487/5281",5
"hsa00785","Metabolism","Metabolism of cofactors and vitamins","hsa00785","Lipoic acid metabolism","3/520","10/4607",0.093845736929194,0.99999209329477,0.99999209329477,"51601/1629/4967",3
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","8/520","42/4607",0.0939586064135198,0.99999209329477,0.99999209329477,"54407/5595/5533/5532/10681/9454/7220/5567",8
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","19/520","126/4607",0.113496350225995,0.99999209329477,0.99999209329477,"4087/23047/9133/55869/114799/5925/546/26271/8243/545/1021/29945/5001/25836/10735/23244/6502/996/5515",19
"hsa00140","Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","3/520","11/4607",0.118651996148581,0.99999209329477,0.99999209329477,"1312/374875/220074",3
"hsa04392","Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","3/520","11/4607",0.118651996148581,0.99999209329477,0.99999209329477,"6788/8642/55233",3
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","13/520","82/4607",0.128419948429397,0.99999209329477,0.99999209329477,"196/5925/5595/1021/1388/6934/817/54554/81029/1386/3949/5906/5567",13
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","4/520","19/4607",0.159047159226923,0.99999209329477,0.99999209329477,"1388/1386/2354/5567",4
"hsa03060","Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","5/520","26/4607",0.162348928460222,0.99999209329477,0.99999209329477,"7917/23478/6726/7095/9789",5
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","7/520","41/4607",0.173363514847003,0.99999209329477,0.99999209329477,"2353/5595/5187/10681/817/805/5567",7
"hsa04720","Organismal Systems","Nervous system","hsa04720","Long-term potentiation","7/520","41/4607",0.173363514847003,0.99999209329477,0.99999209329477,"5595/5533/5532/817/805/5906/5567",7
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","3/520","13/4607",0.17421705285829,0.99999209329477,0.99999209329477,"2618/6470/25902",3
"hsa04340","Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","5/520","27/4607",0.18200307792303,0.99999209329477,0.99999209329477,"596/64750/57154/1456/5567",5
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","17/520","120/4607",0.191084871139736,0.99999209329477,0.99999209329477,"596/10627/5595/6655/5170/6093/60/331/4636/7094/5154/10298/6654/1729/3685/329/5906",17
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","8/520","50/4607",0.196695700901141,0.99999209329477,0.99999209329477,"10383/5595/6655/1902/5154/10746/6654/5567",8
"hsa00250","Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","3/520","14/4607",0.204272865733713,0.99999209329477,0.99999209329477,"8659/2673/790",3
"hsa00900","Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","4/520","21/4607",0.206373328100315,0.99999209329477,0.99999209329477,"116150/57107/10269/3157",4
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","11/520","74/4607",0.208014776131516,0.99999209329477,0.99999209329477,"4087/6788/60/6934/3993/55233/81029/329/5515/3996/656",11
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","19/520","138/4607",0.208666641214941,0.99999209329477,0.99999209329477,"10627/10672/5595/6655/6093/60/8976/1902/4636/54961/1073/28964/5154/10298/6654/1729/7852/3685/5962",19
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","17/520","122/4607",0.210323212149206,0.99999209329477,0.99999209329477,"2114/22821/5595/5898/6655/10681/8036/10125/5154/10298/2549/6654/2113/4763/805/5906/5567",17
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","11/520","75/4607",0.220819318695548,0.99999209329477,0.99999209329477,"2353/596/5914/5595/6655/1388/9166/1386/6654/805/5567",11
"hsa01250","Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","5/520","29/4607",0.223684838601727,0.99999209329477,0.99999209329477,"23483/2592/29925/55276/2673",5
"hsa00650","Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","3/520","15/4607",0.235390960405371,0.99999209329477,0.99999209329477,"5019/3157/35",3
"hsa00770","Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","3/520","15/4607",0.235390960405371,0.99999209329477,0.99999209329477,"80025/51380/60496",3
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","24/520","183/4607",0.244020360542716,0.99999209329477,0.99999209329477,"2353/8649/6788/5495/9344/5595/5533/5532/6655/10125/5154/10746/8491/1386/6654/1843/4214/51701/57551/8550/4763/5906/5567/2005",24
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","11/520","77/4607",0.247340142150591,0.99999209329477,0.99999209329477,"26039/6605/9643/8932/80314/53615/60/84295/54815/1108/64431",11
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","7/520","47/4607",0.276166991441721,0.99999209329477,0.99999209329477,"10767/54205/9554/718/1195/57396/5861",7
"hsa03083","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","10/520","71/4607",0.276274587294323,0.99999209329477,0.99999209329477,"10600/63035/64319/8473/55777/10138/23512/54554/84456/121536",10
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","8/520","55/4607",0.277182725987761,0.99999209329477,0.99999209329477,"5925/5595/1021/6655/5154/817/6654/805",8
"hsa04215","Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","4/520","24/4607",0.283371528848747,0.99999209329477,0.99999209329477,"596/54205/331/329",4
"hsa04962","Organismal Systems","Excretory system","hsa04962","Vasopressin-regulated water reabsorption","5/520","32/4607",0.290645108195566,0.99999209329477,0.99999209329477,"10671/51143/6810/396/5567",5
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","6/520","40/4607",0.293793413459085,0.99999209329477,0.99999209329477,"5170/3157/10580/6319/2181/10998",6
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","20/520","155/4607",0.294509951651969,0.99999209329477,0.99999209329477,"567/54205/5925/11214/10672/5595/5533/5532/1021/6655/6093/10681/1388/7188/1386/6654/7852/3685/805/5567",20
"hsa04740","Organismal Systems","Sensory system","hsa04740","Olfactory transduction","3/520","17/4607",0.299568077324504,0.99999209329477,0.99999209329477,"817/805/5567",3
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","9/520","65/4607",0.309224868408636,0.99999209329477,0.99999209329477,"596/54205/5925/1021/331/7188/6502/3685/329",9
"hsa00020","Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","4/520","25/4607",0.309992375923,0.99999209329477,0.99999209329477,"50/8801/4967/6391",4
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","8/520","57/4607",0.31165116908729,0.99999209329477,0.99999209329477,"9133/596/54205/901/545/1021/8797/92344",8
"hsa04912","Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","8/520","57/4607",0.31165116908729,0.99999209329477,0.99999209329477,"5595/6655/817/10746/6654/4214/805/5567",8
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","7/520","49/4607",0.313511417759525,0.99999209329477,0.99999209329477,"1388/817/1386/3949/805/4929/5567",7
"hsa00533","Metabolism","Glycan biosynthesis and metabolism","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","2/520","10/4607",0.313989315368423,0.99999209329477,0.99999209329477,"2530/10678",2
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","15/520","116/4607",0.327110901382685,0.99999209329477,0.99999209329477,"596/5595/1021/8434/6655/6093/4855/23405/4170/5154/10298/27086/7329/6654/5962",15
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","22/520","176/4607",0.336799084758682,0.99999209329477,0.99999209329477,"2114/4087/9133/2353/567/23373/5925/5595/5533/545/5532/29945/1388/331/7094/996/1386/4214/2113/7514/5567/2005",22
"hsa03020","Genetic Information Processing","Transcription","hsa03020","RNA polymerase","4/520","26/4607",0.336836639098051,0.99999209329477,0.99999209329477,"64425/5440/10621/11128",4
"hsa04530","Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","13/520","100/4607",0.336961092443229,0.99999209329477,0.99999209329477,"10627/92359/6093/60/123720/3993/51735/4214/5515/5906/5962/3996/5567",13
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","9/520","67/4607",0.342131689621424,0.99999209329477,0.99999209329477,"2353/596/11214/10672/5595/1388/1386/4929/5567",9
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","9/520","67/4607",0.342131689621424,0.99999209329477,0.99999209329477,"4087/2353/596/54205/5595/5898/6655/6934/6654",9
"hsa04917","Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","6/520","43/4607",0.356322699157837,0.99999209329477,0.99999209329477,"122809/2353/5595/2592/6655/6654",6
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","12/520","93/4607",0.356330338428802,0.99999209329477,0.99999209329477,"9133/901/5595/1901/6655/5170/9454/10733/6502/6654/51701/9140",12
"hsa04960","Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","3/520","19/4607",0.364506686353119,0.99999209329477,0.99999209329477,"5595/5170/6337",3
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","38/520","317/4607",0.368959508988229,0.99999209329477,0.99999209329477,"4087/2353/596/3454/54205/5914/5925/10672/5595/27436/1021/5898/7175/6655/6093/10681/4855/1902/331/10125/6934/3597/1613/5154/7188/817/6502/81029/6654/867/2113/7852/3685/329/805/4780/7170/5567",38
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","7/520","53/4607",0.390338519387183,0.99999209329477,0.99999209329477,"2353/29761/5595/6426/5597/7188/2354",7
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","4/520","28/4607",0.390644755744103,0.99999209329477,0.99999209329477,"26224/9575/4862/5187",4
"hsa00565","Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","3/520","20/4607",0.396678556766887,0.99999209329477,0.99999209329477,"79153/5048/10390",3
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","2/520","12/4607",0.399765084911541,0.99999209329477,0.99999209329477,"1312/220074",2
"hsa04742","Organismal Systems","Sensory system","hsa04742","Taste transduction","2/520","12/4607",0.399765084911541,0.99999209329477,0.99999209329477,"6337/5567",2
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","11/520","88/4607",0.40763741794439,0.99999209329477,0.99999209329477,"122809/596/3454/8554/6655/3590/3597/4170/5154/6654/10254",11
"hsa04217","Cellular Processes","Cell growth and death","hsa04217","Necroptosis","12/520","97/4607",0.413843524669994,0.99999209329477,0.99999209329477,"8878/596/3454/8797/331/25978/9825/7188/817/148022/6609/329",12
"hsa04660","Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","12/520","97/4607",0.413843524669994,0.99999209329477,0.99999209329477,"2353/5595/5533/5532/6655/5170/10125/10298/6654/3702/5515/8915",12
"hsa04924","Organismal Systems","Endocrine system","hsa04924","Renin secretion","4/520","29/4607",0.417358342486884,0.99999209329477,0.99999209329477,"5533/5532/805/5567",4
"hsa05216","Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","4/520","29/4607",0.417358342486884,0.99999209329477,0.99999209329477,"5595/7175/6934/7170",4
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","11/520","89/4607",0.422775097701415,0.99999209329477,0.99999209329477,"5533/6907/5532/59343/6934/817/81029/51701/79718/6259/5567",11
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","9/520","72/4607",0.426081891697607,0.99999209329477,0.99999209329477,"4087/2353/5595/6655/10681/1388/1386/6654/5567",9
"hsa00970","Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","3/520","21/4607",0.428396094877983,0.99999209329477,0.99999209329477,"124454/57038/23395",3
"hsa01210","Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","3/520","21/4607",0.428396094877983,0.99999209329477,0.99999209329477,"50/1629/4967",3
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","7/520","55/4607",0.429022713614624,0.99999209329477,0.99999209329477,"5595/6655/10298/2549/6654/2113/5906",7
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","23/520","194/4607",0.433835318412025,0.99999209329477,0.99999209329477,"4087/137492/51028/163/22841/10564/10938/6642/83737/8976/64750/9146/57154/25978/28964/9765/55680/867/3949/58513/7852/7456/10254",23
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","11/520","91/4607",0.453013392517628,0.99999209329477,0.99999209329477,"596/5595/6655/5170/396/817/2549/6654/4214/805/5906",11
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","7/520","57/4607",0.467396141768748,0.99999209329477,0.99999209329477,"596/5595/6655/5154/2549/6654/4763",7
"hsa04146","Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","7/520","57/4607",0.467396141768748,0.99999209329477,0.99999209329477,"11264/5189/5825/5191/8443/2181/5194",7
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","7/520","57/4607",0.467396141768748,0.99999209329477,0.99999209329477,"5925/5595/27436/1021/6655/5170/6654",7
"hsa00513","Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","4/520","31/4607",0.469859247882838,0.99999209329477,0.99999209329477,"2530/4121/4124/199857",4
"hsa04927","Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","4/520","31/4607",0.469859247882838,0.99999209329477,0.99999209329477,"1388/1386/3949/5567",4
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","12/520","101/4607",0.471563060544872,0.99999209329477,0.99999209329477,"23353/29766/64423/60/4636/7094/200539/3930/1729/3685/7170/2275",12
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","12/520","101/4607",0.471563060544872,0.99999209329477,0.99999209329477,"122809/90673/5595/6655/5170/23433/10580/6654/867/805/5573/5567",12
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","6/520","49/4607",0.482144223029799,0.99999209329477,0.99999209329477,"2353/5595/1073/718/148022/805",6
"hsa04714","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","17/520","146/4607",0.484891197015578,0.99999209329477,0.99999209329477,"7381/1349/29078/6605/7385/285521/6655/60/374291/2181/4709/1386/6654/656/493753/5567/6391",17
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","12/520","102/4607",0.485883648026799,0.99999209329477,0.99999209329477,"2353/196/596/5925/5595/6655/1388/331/3840/1386/6654/5567",12
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","8/520","67/4607",0.489884425055257,0.99999209329477,0.99999209329477,"2353/596/5925/5595/6655/4855/6654/5567",8
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","6/520","50/4607",0.502546444833012,0.99999209329477,0.99999209329477,"5595/6934/817/81029/805/5567",6
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","8/520","68/4607",0.50736307463903,0.99999209329477,0.99999209329477,"10627/6093/60/4636/83692/3702/7852/5906",8
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","17/520","148/4607",0.508774165750597,0.99999209329477,0.99999209329477,"2353/596/54205/5595/57534/5533/5532/5451/5170/8797/5452/817/148022/3949/805/5906/4780",17
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","9/520","77/4607",0.509339255640986,0.99999209329477,0.99999209329477,"2353/5925/5595/1021/6655/4855/6934/81029/6654",9
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","9/520","77/4607",0.509339255640986,0.99999209329477,0.99999209329477,"4087/596/5925/5595/6655/6934/2549/81029/6654",9
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","14/520","122/4607",0.517017604526868,0.99999209329477,0.99999209329477,"4087/5595/6655/5170/6093/60/817/2549/81029/6654/867/3685/5962/5567",14
"hsa00512","Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","2/520","15/4607",0.517852133082099,0.99999209329477,0.99999209329477,"56913/79695",2
"hsa01523","Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","3/520","24/4607",0.519354782506968,0.99999209329477,0.99999209329477,"6573/2618/6470",3
"hsa00600","Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","4/520","33/4607",0.520525486175885,0.99999209329477,0.99999209329477,"259230/7357/10558/6609",4
"hsa00510","Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","5/520","42/4607",0.521613709409352,0.99999209329477,0.99999209329477,"2530/4121/8818/4124/199857",5
"hsa04012","Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","7/520","60/4607",0.523669456815554,0.99999209329477,0.99999209329477,"5595/6655/10298/817/2549/6654/867",7
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","9/520","78/4607",0.525601446345685,0.99999209329477,0.99999209329477,"596/5595/1388/817/1386/5515/805/7170/5567",9
"hsa00640","Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","3/520","25/4607",0.547904201586601,0.99999209329477,0.99999209329477,"8801/1629/35",3
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","10/520","89/4607",0.556831669431033,0.99999209329477,0.99999209329477,"2353/8878/596/60/92/5154/1843/3685/805/4780",10
"hsa03460","Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","4/520","35/4607",0.568786212809505,0.99999209329477,0.99999209329477,"2188/545/80010/2072",4
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","4/520","35/4607",0.568786212809505,0.99999209329477,0.99999209329477,"1388/817/1386/5567",4
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","8/520","72/4607",0.575098778736727,0.99999209329477,0.99999209329477,"596/5925/5595/6655/5170/6934/5154/6654",8
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","13/520","118/4607",0.58180268744052,0.99999209329477,0.99999209329477,"4087/9133/8878/5925/3805/5595/5533/545/5532/1021/2113/5810/805",13
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","12/520","109/4607",0.583037582817859,0.99999209329477,0.99999209329477,"4087/5925/6605/5595/1021/6655/60/6934/2549/81029/6654/4780",12
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","5/520","45/4607",0.585396014718837,0.99999209329477,0.99999209329477,"5595/10681/7220/1843/5567",5
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","8/520","73/4607",0.591368677786738,0.99999209329477,0.99999209329477,"2353/5595/6655/1388/1386/6654/4214/5567",8
"hsa04721","Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","4/520","36/4607",0.591879914566814,0.99999209329477,0.99999209329477,"163/51382/6536/2054",4
"hsa04971","Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","4/520","36/4607",0.591879914566814,0.99999209329477,0.99999209329477,"60/817/805/5567",4
"hsa00280","Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","4/520","37/4607",0.614229102679831,0.99999209329477,0.99999209329477,"5019/3157/1629/35",4
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","10/520","93/4607",0.61495592192791,0.99999209329477,0.99999209329477,"596/10672/5595/1901/259230/5170/6093/10558/6609/5515",10
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","6/520","56/4607",0.617617903766336,0.99999209329477,0.99999209329477,"2353/596/5595/10681/817/5567",6
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","9/520","84/4607",0.618575984607069,0.99999209329477,0.99999209329477,"10627/10672/5595/6093/60/10125/7094/5906/5567",9
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","12/520","112/4607",0.622248146594394,0.99999209329477,0.99999209329477,"26039/2530/2120/5914/2130/221037/7403/5154/8464/2521/329/2005",12
"hsa05213","Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","5/520","47/4607",0.625247384811489,0.99999209329477,0.99999209329477,"5595/6655/5170/6934/6654",5
"hsa00514","Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","3/520","28/4607",0.62724342826865,0.99999209329477,0.99999209329477,"56913/8473/79695",3
"hsa04136","Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","3/520","28/4607",0.62724342826865,0.99999209329477,0.99999209329477,"84938/5515/9140",3
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","3/520","28/4607",0.62724342826865,0.99999209329477,0.99999209329477,"10998/3949/5567",3
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","13/520","122/4607",0.631862570791687,0.99999209329477,0.99999209329477,"64963/6173/51318/4736/6229/51065/6204/6125/6208/64960/6138/64969/63931",13
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","9/520","85/4607",0.633141490701832,0.99999209329477,0.99999209329477,"50/6470/83440/8801/5230/4967/35/6120/6391",9
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","15/520","141/4607",0.638218277453152,0.99999209329477,0.99999209329477,"8878/596/8417/9842/84938/5595/5170/84557/203228/1613/83452/5515/5861/9140/5567",15
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","16/520","151/4607",0.64673217787134,0.99999209329477,0.99999209329477,"9133/2353/596/567/54205/9616/5595/5533/545/5532/10681/1073/10298/7188/7852/805",16
"hsa00500","Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","2/520","19/4607",0.649457538589348,0.99999209329477,0.99999209329477,"178/55276",2
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","6/520","58/4607",0.652475089226879,0.99999209329477,0.99999209329477,"596/54205/5595/5170/331/329",6
"hsa00520","Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","4/520","39/4607",0.65658309334039,0.99999209329477,0.99999209329477,"2592/29925/55276/2673",4
